藥品代碼,藥品名稱,數量
A0019631G0,METRONIDAZOLE ， 一般錠劑膠囊劑 ， 250.00 MG,0
A001973100,VITAMIN E (=TOCOPHEROL) ， 一般錠劑膠囊劑 ， 100.00 MG,0
A001982212,DICYCLOMINE ， 注射劑 ， 20.00 MG,0
A001997100,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 200.00 MG,48069
A002076100,ETHAMBUTOL ， 一般錠劑膠囊劑 ， 250.00 MG,0
A002078100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,0
A002086100,DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUM SILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLL SODIUM COPPER 3MG， 一般錠劑膠囊劑，,38
A002107500,ACETYLSALICYLIC ACID ， 栓劑 ， 125-325 MG,0
A002126100,DICYCLOMINE 5MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM OXIDE 200MG， 一般錠劑膠囊劑，,0
A002140100,VITAMINE B12 (=HYDROXOCOBALAMIN) ， 一般錠劑膠囊劑 ， 500.00 MCG,0
A0021401G0,VITAMINE B12 (=HYDROXOCOBALAMIN) ， 一般錠劑膠囊劑 ， 500.00 MCG,0
A002242100,NALIDIXIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,0
A002323100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A002341349,CALAMINE 20MG/ML + ZINC OXIDE 80MG/ML， 外用液劑， 53.00ML,0
A002341351,CALAMINE 20MG/ML + ZINC OXIDE 80MG/ML， 外用液劑， 60.00ML,0
A002341355,CALAMINE 20MG/ML + ZINC OXIDE 80MG/ML， 外用液劑， 100.00ML,0
A002343100,DIAZEPAM ， 一般錠劑膠囊劑 ， 5.00 MG,0
A002359100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,0
A002362100,BUTYLSCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,0
A0023681G0,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,0
A002385100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,0
A002403100,AMPICILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A002420100,homatropine 1-1.25mg + aluminum hydroxide 0-300mg， 一般錠劑膠囊劑,0
A002444100,AMPICILLIN ， 一般錠劑膠囊劑 ， 500.00 MG,0
A002445100,AMPICILLIN 125MG + CLOXACILLIN 125MG， 一般錠劑膠囊劑，,0
A002479100,ALUMINUM HYDROXIDE ， 一般錠劑膠囊劑 ， 233.00 MG,0
A002504100,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,0
A002555100,DIMETHICONE ， 一般錠劑膠囊劑 ， 40.00 MG,90393.2
A002562100,BENZYDAMINE ， 一般錠劑膠囊劑 ， 25.00 MG,0
A002595100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 3.84-5.00 MG,31928
A002616100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,0
A002626100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,0
A002635100,SCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,16132.5
A002644100,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 250.00 MG,0
A002657229,PROGESTERONE ， 注射劑 ， 250.00 MG,4854
A002658100,CYCLIZINE ， 一般錠劑膠囊劑 ， 50.00 MG,21
A002680100,ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE ， 一般錠劑膠囊劑 ， 200.00 MG,0
A002684100,BROMHEXINE ， 一般錠劑膠囊劑 ， 8.00 MG,0
A002699100,ACETAMINOPHEN ， 一般錠劑膠囊劑 ， 300.00 MG,0
A002755100,VITAMIN B1 50MG + VITAMIN B2 2-5MG， 一般錠劑膠囊劑,0
A002759100,VITAMIN B2 (=RIBOFLAVIN) ， 一般錠劑膠囊劑 ， 10.00 MG,0
A002760100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,12099.9
A002766100,ACETAMINOPHEN ， 一般錠劑膠囊劑 ， 300.00 MG,0
A002844100,METHYLEPHEDRINE ， 一般錠劑膠囊劑 ， 25.00 MG,0
A002845100,VITAMIN B6 (=PYRIDOXINE) ， 一般錠劑膠囊劑 ， 50.00 MG,0
A002856100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,36434
A002863100,GLYBURIDE (=GLIBENCLAMIDE) ， 一般錠劑膠囊劑 ， 5.00 MG,0
A002904100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 4.00 MG,0
A002921100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,0
A002961100,METRONIDAZOLE ， 一般錠劑膠囊劑 ， 250.00 MG,0
A002971100,METHYLEPHEDRINE ， 一般錠劑膠囊劑 ， 25.00 MG,0
A002985100,CHLORPHENIRAMINE ， 一般錠劑膠囊劑 ， 3.00 MG,0
A002987100,VITAMIN B12 (=CYANOCOBALAMIN) ， 一般錠劑膠囊劑 ， 1000.00 MCG,0
A002989100,CUPRIC SULFATE 0.500MG + FERROUS GLUCONATE 60.000MG + LIVER 20.000MG + THIAMINE NITRATE 1.000MG + RIBOFLAVIN (=VIT B2) 1.000MG + CYANOCOBALAMIN (=VIT B12) 2.000MCG， 一般錠劑膠囊劑,0
A002994100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,10488
A003023212,METHIONINE DL- 20MG/ML+CHLORPHENIRAMINE MALEATE 1.5MG/ML+RIBOFLAVIN PHOSPHATE 2.5MG/ML+PYRIDOXINE HCL 2.5MG/ML+PANTHENOL 5MG/ML+FLAVINEADENINE DINUCLEOTIDE 0.05MG/ML+NIACINAMIDE (=NICOTINAMIDE) 10MG/ML+BIOTIN 0.25MG/ML，注射劑，2.00ML,21.5
A003086100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,0
A003092100,ACETYLSALICYLIC ACID ，一般錠劑膠囊劑， 500.00 MG,150
A003107100,ANETHOLE TRITHIONE ， 一般錠劑膠囊劑 ， 12.50 MG,0
A003109100,VITAMIN C (=ASCORBIC ACID) ， 一般錠劑膠囊劑 ， 100.00 MG,0
A003116100,INDOMETHACIN ， 一般錠劑膠囊劑 ， 25.00 MG,0
A003133238,WATER FOR INJECTION ， 注射劑 ， 20.00 ML,0
A003156212,VITAMIN B6 (=PYRIDOXAL 5-PHOSPHATE) ， 注射劑 ， 10.00 MG,7
A003157221,HISTIDINE ， 注射劑 ， 200.00 MG,1
A003159238,SODIUM SALICYLATE 20MG/ML + CHONDROITIN 10MG/ML，  注射劑，  20.00ML,0
A003171100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,0
A003206100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,0
A003222221,HISTIDINE ， 注射劑 ， 200.00 MG,0
A003227100,CEPHALEXIN ， 一般錠劑膠囊劑 ， 500.00 MG,0
A003244100,PROCHLORPERAZINE ， 一般錠劑膠囊劑 ， 5.00 MG,0
A003286100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A0032861G0,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A003311100,DIASTASE 120MG + PANCREATIN 120MG + PEPSIN 60MG， 一般錠劑膠囊劑，,8187.4
A003314100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,0
A003317212,FUROSEMIDE ， 注射劑 ， 20.00 MG,0
A003318100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 3.84-5.00 MG,0
A003365100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,0
A0033651G0,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,0
A003367100,VITAMIN B12 (=CYANOCOBALAMIN) ， 一般錠劑膠囊劑 ， 100.00 MCG,0
A003373321,FLUOCINOLONE 0.25MG/GM + NEOMYCIN 3.5MG/GM， 外用軟膏劑， 5.00GM,24
A003373329,FLUOCINOLONE 0.25MG/GM + NEOMYCIN 3.5MG/GM， 外用軟膏劑， 10.00GM,24
A003386209,TRIAMCINOLONE ， 注射劑 ， 40.00 MG,2353.1
A003386212,TRIAMCINOLONE ， 注射劑 ， 80.00 MG,1633.7
A003386229,TRIAMCINOLONE ， 注射劑 ， 400.00 MG,3635.3
A003388100,HYDROCHLOROTHIAZIDE ， 一般錠劑膠囊劑 ， 50.00 MG,0
A003389100,ACETAZOLAMIDE ， 一般錠劑膠囊劑 ， 250.00 MG,0
A003390100,MEPROBAMATE ， 一般錠劑膠囊劑 ， 200.00 MG,0
A003393100,CHLORPROMAZINE ， 一般錠劑膠囊劑 ， 100.00 MG,79
A003417209,STREPTOMYCIN ， 注射劑 ， 1.00 GM,0
A003440100,VITAMIN B2 (=RIBOFLAVIN) ， 一般錠劑膠囊劑 ， 5.00 MG,0
A003442100,CHLORPHENIRAMINE ， 一般錠劑膠囊劑 ， 4.00 MG,0
A003446221,TRIAMCINOLONE ， 注射劑 ， 50.00 MG,2133.3
A003496100,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,0
A003534100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,0
A003551100,PIPERILATE 3MG + ALUMINUM MAGNESIUM SILICATE 290MG + GLYCYRRHETIC ACID 40MG + HISTIDINE 30MG， 一般錠劑膠囊劑，,3578
A003572421,CHONDROITIN 10MG/ML + FLAVINEADENINE 0.5MG/ML， 眼用液劑， 5.00ML,1
A003621100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 10.00 MG,3886
A003623100,DICYCLOMINE 5MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM OXIDE 200MG， 一般錠劑膠囊劑，,0
A003633100,CHLORPHENIRAMINE ， 一般錠劑膠囊劑 ， 4.00 MG,1814329.1
A003648100,AMINOPHYLLINE 25MG + CHLORPHENIRAMINE 2MG + EPHEDRINE 5MG + GUAIFENESIN 20MG， 一般錠劑膠囊劑，,0
A003686100,DIASTASE 120MG + PANCREATIN 120MG + PEPSIN 60MG， 一般錠劑膠囊劑，,0
A003687100,DOXYCYCLINE ， 一般錠劑膠囊劑 ， 100.00 MG,0
A003697417,TETRACYCLINE ， 眼耳鼻用軟膏 ， 10.00  MG/GM ， 3.50 GM,0
A003703100,DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUM SILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLL SODIUM COPPER 3MG， 一般錠劑膠囊劑，,0
A003704100,DIMETHICONE 20MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM HYDROXIDE 200MG， 一般錠劑膠囊劑，,21
A003706100,ACETAMINOPHEN 250MG + SALICYLAMIDE  300MG， 一般錠劑膠囊劑,0
A003727100,DIPHENHYDRAMINE ， 一般錠劑膠囊劑 ， 25.00 MG,149655.5
A003739100,ALUMINUM HYDROXIDE 334MG + MAGNESIUM HYDROXIDE 166MG， 一般錠劑膠囊劑，,0
A003759100,INDOMETHACIN ， 一般錠劑膠囊劑 ， 25.00 MG,0
A003773100,DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUM SILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLL SODIUM COPPER 3MG， 一般錠劑膠囊劑，,0
A003775100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A003777100,METRONIDAZOLE ， 一般錠劑膠囊劑 ， 250.00 MG,0
A003780100,CHLORAMPHENICOL ， 一般錠劑膠囊劑 ， 250.00 MG,0
A003786209,ERGONOVINE ， 注射劑 ， 200.00 MCG,18
A003794100,EPHEDRINE ， 一般錠劑膠囊劑 ， 25.00 MG,0
A003840100,DIMETHICONE 20MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM OXIDE 200MG， 一般錠劑膠囊劑，,0
A003851100,RIFAMPICIN ， 一般錠劑膠囊劑 ， 150.00 MG,0
A003867209,BUTYLSCOPOLAMINE ， 注射劑 ， 20.00 MG,0
A003871417,ERYTHROMYCIN，眼耳鼻用軟膏， 10.00  MG/GM，3.50 GM,0
A003881209,DEXAMETHASONE ， 注射劑 ， 5.00 MG,0
A003903100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 4.00 MG,0
A003911100,AMINOPHYLLINE ， 一般錠劑膠囊劑 ， 200.00 MG,6969.5
A003941421,NAPHAZOLINE ， 眼用液劑 ， 0.03  MG/ML ， 5.00 ML,0
A003948417,ATROPINE ， 眼耳鼻用軟膏 ， 10.00  MG/GM ， 3.50 GM,0
A003954212,LIDOCAINE ， 注射劑 ， 20.00 MG,0
A003956100,CEPHALEXIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A003968421,SULFAMETHOXAZOLE ， 眼用液劑 ， 40.00  MG/ML ， 5.00 ML,0
A003976100,BISMUTH SUBCARBONATE ， 一般錠劑膠囊劑 ， 324.00 MG,0
A003994421,NAPHAZOLINE 0.03MG/ML + CHONDROITIN 30MG/ML， 眼用液劑， 5.00ML,0
A004001421,PILOCARPINE ， 眼用液劑 ， 40.00  MG/ML ， 5.00 ML,82
A004042100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,8675.5
A004044100,VITAMIN B1 (THIAMINE) ， 一般錠劑膠囊劑 ， 50.00 MG,0
A004068429,SODIUM CHLORIDE 5.5MG/ML+POTASSIUM CHLORIDE 1.6MG/ML+SODIUM PHOSPHATE MONOBASIC (=MONOSODIUM PHOSPHATE) 1.8MG/ML+BORIC ACID 0.012MG/ML+BENZALKONIUM CHLORIDE 0.05MG/ML+SODIUM CARBONATE ANHYDROUS 0.6MG/ML，眼用液劑，10.00ML,202798.1
A004073221,TRIAMCINOLONE ， 注射劑 ， 50.00 MG,104.5
A004073299,TRIAMCINOLONE ， 注射劑 ， 10.00 MG,9203.4
A004099100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,0
A004156417,VITAMIN A ， 眼耳鼻用軟膏 ， 5000 IU/GM ， 3.5 GM,0
A004166421,DEXAMETHASONE SODIUM PHOSPHATE 1MG/ML + NEOMYCIN 5MG/ML， 眼用液劑， 5.00ML,0
A004189100,RESERPINE ， 一般錠劑膠囊劑 ， 250.00 MCG,9
A004211100,PYRIDOXINE HCL 2.000MG + VITAMIN A ACETATE 4000.000IU + NIACINAMIDE (=NICOTINAMIDE) 20.000MG + THIAMINE HCL (=THIAMINE CHLORIDE HYDROCHLORIDE) 2.000MG + RIBOFLAVIN (=VIT B2) 2.000MG + CYANOCOBALAMIN (=VIT B12) 5.000MCG， 一般錠劑膠囊劑,0
A004219100,BROMHEXINE ， 一般錠劑膠囊劑 ， 8.00 MG,71801.5
A004220100,ALUMINUM HYDROXIDE 230MG + MAGNESIUM HYDROXIDE 85MG， 一般錠劑膠囊劑，,0
A004221100,METHIMAZOLE ， 一般錠劑膠囊劑 ， 5.00 MG,0
A004222100,BETAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,0
A004247100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A004249100,METRONIDAZOLE ， 一般錠劑膠囊劑 ， 250.00 MG,0
A004255100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,1404
A004263100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,33349.7
A004276100,TRICHLORMETHIAZIDE ， 一般錠劑膠囊劑 ， 2.00 MG,0
A004280100,DICLOXACILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,0
A004287100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,0
A004300100,homatropine 1-1.25mg + aluminum hydroxide 0-300mg， 一般錠劑膠囊劑,0
A004322229,VITAMIN B1 100MG/ML + VITAMIN B2 5MG/ML + VITAMIN B6 5MG/ML + NICOTINAMIDE 50MG/ML + PANTOTHENIC ACID 5MG/ML， 注射劑， 10.00ML,0
A004414100,VITAMIN B1 50MG + VITAMIN B2 2-5MG， 一般錠劑膠囊劑,0
A004417100,VITAMIN B1 50MG + VITAMIN B2 5MG + VITAMIN B6 5MG + VITAMIN B12 10MCG， 一般錠劑膠囊劑，,0
A004423100,ESTROGEN CONJUGATED ， 一般錠劑膠囊劑 ， 1250.00 MCG,0
A004461100,OXELADIN ， 一般錠劑膠囊劑 ， 20.00 MG,5457
A004462100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,0
A004488421,AZULENE ， 眼用液劑 ， 0.20  MG/ML ， 5.00 ML,0
A004490417,CHLORAMPHENICOL ， 眼耳鼻用軟膏 ， 10.00  MG/GM ， 3.50 GM,0
A004491417,COLISTIN 5MG/GM + ERYTHROMYCIN LACTOBIONATE 5MG/GM， 眼耳鼻用軟膏， 3.50GM,403
A004506100,BUTYLSCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,0
A004517100,FERROUS FUMARATE 75.000MG + NIACINAMIDE (=NICOTINAMIDE) 2.500MG + THIAMINE HCL (=THIAMINE CHLORIDE HYDROCHLORIDE) 0.500MG + RIBOFLAVIN (=VIT B2) 0.500MG + PYRIDOXINE HCL 1.000MG + CYANOCOBALAMIN (=VIT B12) 0.170MCG， 一般錠劑膠囊劑,0
A004565209,DEXAMETHASONE ， 注射劑 ， 4.00 MG,0
A004565229,DEXAMETHASONE ， 注射劑 ， 40.00 MG,0
A004643100,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 200.00 MG,0
A004648100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,13520
A004649321,TRIAMCINOLONE 1MG/GM + NEOMYCIN 5MG/GM， 外用軟膏劑， 5.00GM,0
A004670100,VITAMIN C (=ASCORBIC ACID) ， 一般錠劑膠囊劑 ， 200.00 MG,0
A004687100,RIFAMPICIN， 一般錠劑膠囊劑 ， 300.00 MG,0
A004704100,CHLORPHENIRAMINE ， 一般錠劑膠囊劑 ， 4.00 MG,587233.9
A004720100,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,0
A004722100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 4.00 MG,0
A004737100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 4.00 MG,0
